Erwähnung;Personenname
von Laÿmingen;Christoph von Laimingen
Herzogin;Barbara Sophie von Brandenburg
Iustitia;Iustitia, Personifikation
Pegaso;Pegasos, mythologische Figur
Haubern;Johannes Hauber
Sculteto;Abraham Scultetus
Jnfantin;Elisabeth von England
Herrn;Johann Friedrich, Herzog (Württemberg)
Ludwig Friderichen;Ludwig Friedrich, Herzog (Württemberg-Mömpelgard)
Magnum;Magnus, Herzog (Württemberg-Neuenbürg)
Johann Friderich;Johann Friedrich, Herzog (Württemberg)
Pantelons;Pantalone (Theaterfigur)
Ruest;Alexander vom Ruest
Jren Herrn;Friedrich V., Kurfürst (Pfalz)
Marggraf von Onoltz-bach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Graf von Solmß;Johann Albrecht I., Graf (Solms-Braunfels)
Graf von Erbach;Ludwig I., Graf (Erbach)
von Fleckenstain;Philipp Jakob von Fleckenstein
Jo-hann Friderich von Württemberg;Johann Friedrich, Herzog (Württemberg)
Mantenitor;Johann Friedrich, Herzog (Württemberg)
Augustuß;August, Pfalzgraf (Pfalz-Sulzbach)
Junger Herr;Christian II., Fürst (Anhalt-Bernburg)
Mantenitors;Johann Friedrich, Herzog (Württemberg)
Chur-Fürstliche Durchleucht;Friedrich V., Kurfürst (Pfalz)
August von Pfalz-Sulzbach;August, Pfalzgraf (Pfalz-Sulzbach)
Christian I. von Anhalt-Bernburg;Christian I., Fürst (Anhalt-Bernburg)
von Durr-lach;Georg Friedrich, Markgraf (Baden-Durlach)
Herr Margraf;Georg Friedrich, Markgraf (Baden-Durlach)
Vatter;Georg Friedrich, Markgraf (Baden-Durlach)
Jme;Christoph von Baden-Durlach
Buwickhauser;Benjamin Bouwinghausen von Wallmerode
Christophen;Christoph von Baden-Durlach
Er;Hans Ulrich Krafft
Durrlach;Georg Friedrich, Markgraf (Baden-Durlach)
von Buwick-hausen;Benjamin Bouwinghausen von Wallmerode
Ferdinand Geitzkhofler;Ferdinand Geizkofler
Margraf von Onolzbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Margraf von Durrlach;Georg Friedrich, Markgraf (Baden-Durlach)
Friderich;Friedrich Achilles, Herzog (Württemberg-Neuenstadt)
vonHochenloë;Kraft zu Hohenlohe-Neuenstein
Johann Friderichen;Johann Friedrich, Herzog (Württemberg)
vonSchönberg;Hans Meinhard von Schönberg
Marggrauen von Durrlach;Georg Friedrich, Markgraf (Baden-Durlach)
Mantenitorn;Johann Friedrich, Herzog (Württemberg)
Christophen von Baden;Christoph von Baden-Durlach
Georg Friderich Marggraff von Baden;Georg Friedrich, Markgraf (Baden-Durlach)
HerrnHertzogen;Johann Friedrich, Herzog (Württemberg)
Herzogen;Johann Friedrich, Herzog (Württemberg)
Johann Friederich von Württemberg;Johann Friedrich, Herzog (Württemberg)
ChurfürstenPfaltzgrauen;Friedrich V., Kurfürst (Pfalz)
Friderichen von Baden;Friedrich V., Markgraf (Baden-Durlach)
Kraftenvon Hochenloë;Kraft zu Hohenlohe-Neuenstein
Chri-stian von Anhalt dem Öltern;Christian I., Fürst (Anhalt-Bernburg)
Hain-rich Wilhelmen;Heinrich Wilhelm zu Solms-Sonnewalde
Regierenden Herrn vonWürttemberg;Johann Friedrich, Herzog (Württemberg)
Craften von Hochenloë;Kraft zu Hohenlohe-Neuenstein
Johann Friderichen von Württemberg;Johann Friedrich, Herzog (Württemberg)
Pfaltzgrauen Augusto,;August, Pfalzgraf (Pfalz-Sulzbach)
Graf Kraften von Hochenloë;Kraft zu Hohenlohe-Neuenstein
Kraften von Hochenloë;Kraft zu Hohenlohe-Neuenstein
Durchleucht;Friedrich V., Kurfürst (Pfalz)
Churfürstliche Durchleucht;Friedrich V., Kurfürst (Pfalz)
Doctor Bechlern;Hieronymus Bechler
Graf von Solms;Johann Albrecht I., Graf (Solms-Braunfels)
Eisenburg;Philipp Ernst von Isenburg-Büdingen
Fürstliche Gnaden;Johann Friedrich, Herzog (Württemberg)
Sie;Ludwig Friedrich, Herzog (Württemberg-Mömpelgard)
Jhre Fürstliche Gnaden;Johann Friedrich, Herzog (Württemberg)
Löhrer;Bernhard Ludwig Löher
Hof-prediger;Abraham Scultetus
Margrafvon Durrlachs;Georg Friedrich, Markgraf (Baden-Durlach)
von Onoltzbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Fürsten;Johann Friedrich, Herzog (Württemberg)
Guet;Ludwig Guth von Sulz
Marggrauen von Onoltzbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Christian vonAnhalt;Christian I., Fürst (Anhalt-Bernburg)
