Erwähnung;Personenname
DanielRem;Daniel Rem
Martin Horndacher;Martin Horndacher
Doktor JeorgMiller;Jerg Miller
HansWachter;Hans Wachter
herzog Maximilianj gmahel;Elisabeth Renata von Lothringen
schwester;Magdalena von Bayern
Dr. Wolfgang Hannemann;Wolfgang Hannemann
rector collegij;Melchior Hertel
herzog;Ferdinand, Herzog (Bayern)
er;Ferdinand, Herzog (Bayern)
ihne;Ferdinand, Herzog (Bayern)
fraw Rosinageborner Hördtnittin;Rosina Würtenberger
