Erwähnung;Personenname
Veit;Veit Abel
Abel;Veit Abel
Jörg Schönen;Georg Schön
Herrn Schön;Georg Schön
Jacob Burckharten;Jakob Burckhart
Doctor Burckhart;Jakob Burckhart
Fraw;Juliana Burckhart
Hertzogen Maximilianj;Maximilian I., Herzog/Kurfürst (Bayern)
Durchleucht;Wilhelm V., Herzog (Bayern)
Hertzogen Wilhelm;Wilhelm V., Herzog (Bayern)
Herren Schön;Georg Schön
Herr Schön;Georg Schön
Schönen;Georg Schön
HertzogMaximilianum;Maximilian I., Herzog/Kurfürst (Bayern)
gemahlin;Elisabeth Renata von Lothringen
Hertzogen Albrechten;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Hertzogin Magdalena;Magdalena von Bayern
Wölfflin;Wölflein Pelauf
Hertzogen;Maximilian I., Herzog/Kurfürst (Bayern)
Hertzogin;Elisabeth Renata von Lothringen
Mariae Saluatorin;Maria Salvatorin
Brigelmaÿr;Johann Prigglmair
Jacob;Wilhelm Bühler
Bühler;Wilhelm Bühler
kunst Cam-merer;Wilhelm Bühler
Alte;Wilhelm V., Herzog (Bayern)
Regirende herr;Maximilian I., Herzog/Kurfürst (Bayern)
Hertzog Albrecht,;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
des regirenden Herrn Gemahl;Elisabeth Renata von Lothringen
Frewlein Magdalena;Magdalena von Bayern
Jhre Durchleucht;Wilhelm V., Herzog (Bayern)
Pantzer;Johann Georg Pantzer
Hannß Lamm;Jakob Lamb
Doctore;Jakob Burckhart
Frawen;Juliana Burckhart
DoctorisBurkardj;Jakob Burckhart
Doctor;Jakob Burckhart
Ste-phan Reschawer;Stephan Reschauer
Verwalter;Stephan Reschauer
AndreaeKlöpffer;Andreas Klöpffer
Kaiser Carl;Karl V., Kaiser (HRR)
Castner;Andreas Klöpffer
Hannß Wilhalm Hund;Hans Wilhelm Hundt von Lauterbach
Wilhelm;Wilhelm V., Herzog (Bayern)
Augusto;August II., Herzog (Braunschweig-Wolfenbüttel)
Ertz: vnd Großhertzogin;Maria Magdalena von Österreich
in Toscana;Maria Magdalena von Österreich
Fürstin in Pommern;Sophia von Pommern-Stettin
