Erwähnung;Personenname
Hanns Wachtern;Hans Wachter
Daniel Schilling;Daniel Schilling von Günzburg
Abel;Veit Abel
Schilling;Daniel Schilling von Günzburg
HertzogenWilhalm;Wilhelm V., Herzog (Bayern)
Hieronÿmum Jenisch;Hieronymus Jenisch
Wilhalm Pfleger;Wilhelm Pfleger
Jenisch;Hieronymus Jenisch
Hertzog Maximilian;Maximilian I., Herzog/Kurfürst (Bayern)
Conrad Pühler;Conrad Pühler
Nuncius;Giovanni Battista Salvago
Jhre Durchleucht;Ferdinand, Kurfürst (Köln)
Pühler;Conrad Pühler
Jhrer Durchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Nun-cius;Giovanni Battista Salvago
Hertzogin;Elisabeth Renata von Lothringen
Kager;Johann Matthias Kager
Herr Churfürst;Ferdinand, Kurfürst (Köln)
Hertzog Albrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Hertzog Ma-ximilian;Maximilian I., Herzog/Kurfürst (Bayern)
HerrnChurfürsten;Ferdinand, Kurfürst (Köln)
disem Herren;Ferdinand, Kurfürst (Köln)
grafen;Eitel Friedrich, Bischof (Osnabrück)
dise Fürstin;Elisabeth Renata von Lothringen
Fürstin;Elisabeth Renata von Lothringen
graf von Zollern;Eitel Friedrich, Bischof (Osnabrück)
von Rech-berg;Wolf Konrad von Rechberg
Jhre Churfürstliche Durchleucht;Ferdinand, Kurfürst (Köln)
Jhr Durchleucht;Ferdinand, Kurfürst (Köln)
Churfürst;Ferdinand, Kurfürst (Köln)
Herrn Churfürsten;Ferdinand, Kurfürst (Köln)
gemahlin;Mathilde von Bayern
Jhr Herr;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Jhre Durchleucht hertzogAlbrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
alten Herrn;Wilhelm V., Herzog (Bayern)
Herzo-gin;Elisabeth Renata von Lothringen
Regierende;Elisabeth Renata von Lothringen
Hertzog Albrechtsgemahlin;Mathilde von Bayern
Hertzogin Magdalena;Magdalena von Bayern
Maximilian I.;Maximilian I., Herzog/Kurfürst (Bayern)
Albrecht VI.;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Ferdinand;Ferdinand, Kurfürst (Köln)
Bischoff von;Heinrich V. von Knöringen, Bischof (Augsburg)
Dillingen;Heinrich V. von Knöringen, Bischof (Augsburg)
regierende Herr;Maximilian I., Herzog/Kurfürst (Bayern)
sein gemahl;Elisabeth Renata von Lothringen
HerrChurfürst;Ferdinand, Kurfürst (Köln)
Churfürsten;Ferdinand, Kurfürst (Köln)
von Gumpenberg;Georg von Gumppenberg
von Zollern;Eitel Friedrich, Bischof (Osnabrück)
Hertzog Frantz;Franz I., Herzog (Pommern-Stettin)
JhreDurchleucht;Ferdinand, Kurfürst (Köln)
Ferdinando di Baviera;Ferdinand, Kurfürst (Köln)
Benedict Schwein-del;Benedikt Schweindl
Regirende Herr;Maximilian I., Herzog/Kurfürst (Bayern)
Jhrer Fürstlichen gnaden;Ferdinand, Kurfürst (Köln)
Ferdinandus;Ferdinand, Kurfürst (Köln)
JhrerDurchleucht;Ferdinand, Kurfürst (Köln)
Elisabeth Renata von Lothringen;Elisabeth Renata von Lothringen
Mathilde von Bayern;Mathilde von Bayern
Magdalena von Bayern;Magdalena von Bayern
regierenden Herrn;Maximilian I., Herzog/Kurfürst (Bayern)
ainspeninger;Hans Wachter
Pietro Can-dido;Peter Candid
Raphael Sattler;Raphael I. Sadeler
Hanns Ruth;Hans Ruth
Peter Hertzen;Peter Herz
Ruth;Hans Ruth
Candido;Peter Candid
Hertzog Wilhalm;Wilhelm V., Herzog (Bayern)
altenHerren Durchleucht;Wilhelm V., Herzog (Bayern)
alte Herr;Wilhelm V., Herzog (Bayern)
vonVauldemont;Franz II., Herzog (Lothringen)
Chur-fürst;Ferdinand, Kurfürst (Köln)
Regierende Herr;Maximilian I., Herzog/Kurfürst (Bayern)
Hertzog Al-brecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Vauldemont;Franz II., Herzog (Lothringen)
Magdalena von Pfalz-Neuburg;Magdalena von Bayern
Duca de Vaul-demont;Franz II., Herzog (Lothringen)
von Vauldemont;Franz II., Herzog (Lothringen)
alteHerr;Wilhelm V., Herzog (Bayern)
Ertzhertzog Leopold;Leopold V., Erzherzog (Österreich-Tirol)
"alten;";Wilhelm V., Herzog (Bayern)
Jhrer Churfürstlichen Durchleucht;Ferdinand, Kurfürst (Köln)
DoctorMoßmüllern;Bernhard Mosmüller
Nicolaum Mer-tzen;Nicolaus Merz
Johann Christoff;Johann Christoph von Dachsberg zu Zangberg
von Dachs-berg;Johann Christoph von Dachsberg zu Zangberg
Vnfrid;Tobias Unfrid
Doctor Moßmüller;Bernhard Mosmüller
