Erwähnung;Personenname
Churfürstlichen;Maximilian I., Herzog/Kurfürst (Bayern)
Durchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Durchleuchtigen, HochgebohrnenFürsten, vnd Herrn, Herrn Augusto demJungeren, Herzogen zue Braunschweig, vnndLünenburg;August II., Herzog (Braunschweig-Wolfenbüttel)
SERENISSIMVS PRINCEPS AC DOMINVS, DOMINVS, AVGVSTVS, IVNIOR DEI GRATIA, DVX BRUNSVICENSIS ET LVNAEBVRGENSIS;August II., Herzog (Braunschweig-Wolfenbüttel)
AVGVSTVS DVX;August II., Herzog (Braunschweig-Wolfenbüttel)
Jhre Fürst-liche Gnaden;August II., Herzog (Braunschweig-Wolfenbüttel)
Fürstliche Gnaden;August II., Herzog (Braunschweig-Wolfenbüttel)
PHILIPPVS II.;Philipp II., Herzog (Pommern-Stettin)
PHILIPPI;Philipp II., Herzog (Pommern-Stettin)
SOPHIA;Sophia von Pommern-Stettin
PHILIPPE;Philipp II., Herzog (Pommern-Stettin)
viro;Philipp II., Herzog (Pommern-Stettin)
FrawSophia Elisabeta, gebohrne Herzoginvon Mechelburg;Sophie Elisabeth von Mecklenburg-Güstrow
Prinzen;Ferdinand Albrecht I., Herzog (Braunschweig-Bevern)
Seiner Fürstlichen Gnaden;August II., Herzog (Braunschweig-Wolfenbüttel)
Herrn Maximiliano, Pfalzgrafen beÿRhein, Herzogen inn oberen vnd nideren;Maximilian I., Herzog/Kurfürst (Bayern)
Baÿren;Maximilian I., Herzog/Kurfürst (Bayern)
Bernhardt Rechlinger;Bernhard von Rehlingen
Dauid Welser;David Welser
Hanß Rechlingeren;Hans Rehlinger
Carol Langenmantel;Johann Carl Langenmantel
GabrielSchellenbergern;Gabriel Schellenberger
Baltaß Öfelin;Balthasar Oefelen
Doctori Erhart Schreiberen;Erhart Schreiber
BERNARDVS RECHLINGER;Bernhard von Rehlingen
Jhrer Fürstlichen Gnaden HerzgeliebsterFraw Gemahlin inn;Sophie Elisabeth von Mecklenburg-Güstrow
Fuggeren, Grafen zue Kürchbergvnd Weißenhoren,;Ottheinrich Fugger
Doctori JacoboWidenmann;Jakob Widemann
Perillustri Generositati et Excellentiae suae;Ottheinrich Fugger
Jhren Höchstgedachten Fürstlichengnaden;August II., Herzog (Braunschweig-Wolfenbüttel)
Hanß Jacoben Laßmann;Hans Jakob Lassmann
CarolWeÿhenmaÿr;Carol Weyhenmayer
Michäel Fischeren;Michael Fischer
Churfürstin;Maria Anna von Österreich
Maximilian;Maximilian I., Herzog/Kurfürst (Bayern)
Christoff ErnstAur von Riedaw;Christoph Ernst Auer von Riedau
Hofmarschall;Maximilian Kurtz von Senftenau
Jhre Durchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Herrn Hofmarschall;Maximilian Kurtz von Senftenau
Fürsten von Zolleren;Johann, Fürst (Hohenzollern-Sigmaringen)
Johannes, Fürstvnd gefürster Graf zue Hohenzolleren,graf zue Sigmaringen, vnd Vöringen,Herr zue Heigerlohe, vnd Wöhrstain;Johann, Fürst (Hohenzollern-Sigmaringen)
Fürstlichen gnaden;Johann, Fürst (Hohenzollern-Sigmaringen)
Maximilianus Kurz, Freÿ-herr von Senfftenaw;Maximilian Kurtz von Senftenau
Richel;Bartholomäus Richel
MAXIMILIANVS;Maximilian I., Herzog/Kurfürst (Bayern)
Fürsten;Johann, Fürst (Hohenzollern-Sigmaringen)
Fürstliche Gnaden von Zolle-ren;Johann, Fürst (Hohenzollern-Sigmaringen)
Churfürsten;Maximilian I., Herzog/Kurfürst (Bayern)
Fürstlichen Gnaden;August II., Herzog (Braunschweig-Wolfenbüttel)
Johann von Hohenzollern-Sigmaringen;Johann, Fürst (Hohenzollern-Sigmaringen)
Maximilian Kurtz von Senftenau;Maximilian Kurtz von Senftenau
Bartholomäus Richel;Bartholomäus Richel
Kurz;Maximilian Kurtz von Senftenau
gnädigerFürst;Johann, Fürst (Hohenzollern-Sigmaringen)
HerrMarschall;Maximilian Kurtz von Senftenau
Herr Canzler;Bartholomäus Richel
Maximiliani;Maximilian I., Herzog/Kurfürst (Bayern)
Maximiliane;Maximilian I., Herzog/Kurfürst (Bayern)
Fürstvon Zolleren;Johann, Fürst (Hohenzollern-Sigmaringen)
pa-tre;Jeremias Drexel
Fürstliche Gnaden von Zolleren;Johann, Fürst (Hohenzollern-Sigmaringen)
von Zolleren;Johann, Fürst (Hohenzollern-Sigmaringen)
Fürstenvon Zolleren;Johann, Fürst (Hohenzollern-Sigmaringen)
Lachesis;Lachesis, Göttin
Johann Verdun;Johann Verdunck
Verdun;Johann Verdunck
Hanß Georg von Ez-dorff;Johann Georg von Etzdorf
Baltasar Schlegel;Johann Balthasar Schlegel
Herrn Kurzen;Maximilian Kurtz von Senftenau
Jhre Gnaden;Maximilian Kurtz von Senftenau
Herrn;Maximilian Kurtz von Senftenau
Herr Kurz;Maximilian Kurtz von Senftenau
Herr Richel;Bartholomäus Richel
von Ez-dorf;Johann Georg von Etzdorf
Herr vonEzdorff;Johann Georg von Etzdorf
von Ezdorff;Johann Georg von Etzdorf
Alexandrum Abondium;Alessandro Abondio
Clara Egenin;Clara Egen
Konig in Ungarn;Ferdinand III., Kaiser (HRR)
Berchtoldin zue Öster-reich;Berthold II. von Dießen-Andechs
Raphaël Ur-bianus;Raffael
