Erwähnung;Personenname
Churfüst von Cöllen;Ferdinand, Kurfürst (Köln)
Christian;Christian, Markgraf (Brandenburg-Kulmbach)
Albrecht;Georg Albrecht II., Markgraf (Brandenburg)
Kaÿ-serin;Anna, Kaiserin (HRR)
Joachim Ernst vonAnhalt;Joachim Ernst, Fürst (Anhalt)
Leopoldus;Leopold V., Erzherzog (Österreich-Tirol)
Churfürst von Cöllen;Ferdinand, Kurfürst (Köln)
Joachim Ernst von Brandenburg;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Leopoldum;Leopold V., Erzherzog (Österreich-Tirol)
Leopoldo;Leopold V., Erzherzog (Österreich-Tirol)
Christoff Böhem;Christoph Behaim
Baumgarttner;Nikolaus Hieronymus Baumgartner
Caspar König;Kaspar König
Marggraf von Burggaw;Karl, Markgraf (Burgau)
Marggraff;Karl, Markgraf (Burgau)
Marggrafen;Karl, Markgraf (Burgau)
Niclaus Jeronÿmus Paumgarttner;Nikolaus Hieronymus Baumgartner
Kaspar König;Kaspar König
Martin Pfintzing;Martin Pfinzing von Henfenfeld
Hannß Sigmund Füherer;Johann Sigmund Fürer von Haimendorf
Wolff Löffelholtz;Wolfgang Löffelholtz von Kolberg
LeonhartGrundherrn;Leonhard Grundherr von Altenthann und Weiherhaus
Christian von Culmbach;Christian, Markgraf (Brandenburg-Kulmbach)
Joachim Ernst von Ohnspach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Christoff;Christoph Behaim
Bohem;Christoph Behaim
Niclaus Hieronÿmus Paumgartner;Nikolaus Hieronymus Baumgartner
Wolf Konrad von Rechberg;Wolf Konrad von Rechberg
Churfürst vonCöllen;Ferdinand, Kurfürst (Köln)
Christianus;Christian, Markgraf (Brandenburg-Kulmbach)
Fug-ger;Georg Fugger
gemahelin;Anna, Kaiserin (HRR)
Jhr Kaÿserlichen Maÿestet;Matthias, Kaiser (HRR)
Matthia;Matthias, Kaiser (HRR)
Jhre Kaÿserliche Maÿestet;Matthias, Kaiser (HRR)
Gemahelin;Anna, Kaiserin (HRR)
JhreKaÿserliche Maÿestet;Matthias, Kaiser (HRR)
Jhrer Kaÿserlichen Maÿestet;Matthias, Kaiser (HRR)
Christoph Böhem;Christoph Behaim
Kaÿserliche Marschalckh;Wolfgang Siegmund von Losenstein
Hannß Sigmund Füerer;Johann Sigmund Fürer von Haimendorf
JoachimErnst;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Leuin von Redern;Levin von Rheden
Paulus Böhem;Paulus Behaim von Schwarzbach
Paulus Baumgartner;Paul Baumgartner
Veit Engelhart Holtzschuer;Veit Engelhard Holtzschuher
Jeremias im Hof;Johann Hieronymus Imhof
Christoph Pfintzing;Christoph Pfinzing von Henfenfeld
Philipp Harstorffer;Philipp Harsdörfer
Albrecht Haller.;Johann Albrecht Haller von Hallerstein
Matthias Netzer;Matthäus Fetzer
Martin Dilherr;Martin Dilherr
Eustachius Vnderholtzer;Eustachius Unterholzer
DietrichSemler;Johann Dietrich Semler
Jacob Praun;Jakob Praun
Marggraf Joachim Ernst;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Herr Bruder;Georg Albrecht II., Markgraf (Brandenburg)
vonAnhalt;Joachim Ernst, Fürst (Anhalt)
Marggraf Christian;Christian, Markgraf (Brandenburg-Kulmbach)
Fugger;Georg Fugger
Jhr Kaÿserliche Mayestet;Matthias, Kaiser (HRR)
gemahel;Anna, Kaiserin (HRR)
Sua Maestà;Matthias, Kaiser (HRR)
Anna;Anna, Kaiserin (HRR)
MATHIA:;Matthias, Kaiser (HRR)
Sua Maesta Cesarea;Matthias, Kaiser (HRR)
Frederigo III.;Friedrich III., Kaiser (HRR)
Imperatore;Matthias, Kaiser (HRR)
Marchese di Brandenburg Ainspach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Marchese d’Ainspach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Elettor di Cologna;Ferdinand, Kurfürst (Köln)
Ionas;Jonas Schiessel
Christiano diBrandenburg Culmbach;Christian, Markgraf (Brandenburg-Kulmbach)
Gioachimo Ernesto, di Bran-denburg Ainspach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Alberto II, Marchese di Brandenburgo;Georg Albrecht II., Markgraf (Brandenburg)
Gioachimo Ernesto;Joachim Ernst, Fürst (Anhalt)
Signore di Losenstain;Wolfgang Siegmund von Losenstein
elettor di Cologna;Ferdinand, Kurfürst (Köln)
Vescouo di Bambergo;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Imperatrice;Anna, Kaiserin (HRR)
Conte di Mansfeld;Bruno III. von Mansfeld-Bornstedt
Sua Maesta;Matthias, Kaiser (HRR)
Clösel;Melchior Klesl
Arcivescouo di Cologna;Ferdinand, Kurfürst (Köln)
Sua Maestà Cesarea;Matthias, Kaiser (HRR)
il Signor Marscalco;Wolfgang Siegmund von Losenstein
il Ma-rescalco;Wolfgang Siegmund von Losenstein
Cesare;Matthias, Kaiser (HRR)
elettor nuouo di Cologna;Ferdinand, Kurfürst (Köln)
Vescouo di Bamberg;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Christiano, Marchese di Brandenburgo;Christian, Markgraf (Brandenburg-Kulmbach)
Joachim Ernst von Brandenburg-Ansbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Georg Albrecht II. von Brandenburg;Georg Albrecht II., Markgraf (Brandenburg)
Principe d’ Anhalt;Joachim Ernst, Fürst (Anhalt)
Imperatore:;Matthias, Kaiser (HRR)
d’ Spagna;Baltasar de Zúñiga
Giovanni Ernesto Fuccaro;Johann Ernst Fugger
Christoferodi Laÿmingen;Christoph von Laimingen
Toscana;Giuliano de’ Medici
Christiano;Christian, Markgraf (Brandenburg-Kulmbach)
Pandolfo Corrado di Rechperg;Wolf Konrad von Rechberg
un suo figlio;Wilhelm Leo von Rechberg
Marchese di Burgau;Karl, Markgraf (Burgau)
Leo-poldo;Leopold V., Erzherzog (Österreich-Tirol)
Serenissimo di Cologna;Ferdinand, Kurfürst (Köln)
l’ Imperatore;Matthias, Kaiser (HRR)
