Erwähnung;Personenname
Philipp Ludwig von Pfalz-Neuburg;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Furstliche gnaden WolfgangWilhelm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Churfurst zu Colln;Ferdinand, Kurfürst (Köln)
HertzogAlbrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Der Furst vonBirckenfeld;Georg Wilhelm, Pfalzgraf (Pfalz-Birkenfeld)
Christian I. von Pfalz-Birkenfeld-Bischweiler;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
Friedrich von Pfalz-Zweibrücken-Birkenfeld;Friedrich, Pfalzgraf (Zweibrücken-Birkenfeld)
Wolfgang Wilhelm von Pfalz-Neuburg;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Magdalena von Bayern;Magdalena von Bayern
Bischoff von Aistett;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Furstliche Gnaden;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Frau Gemahlin;Magdalena von Bayern
alte herr Pfaltz-graf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Doktor Hailbruner;Jakob Heilbronner
Georg Wilhelm von Zweibrücken-Birkenfeld;Georg Wilhelm, Pfalzgraf (Pfalz-Birkenfeld)
seiner gemahlin;Anna von Pfalz-Neuburg
alten Herren;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
alten Herrn PfaltzgrafenDurchleucht;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Serenissimus;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
grafen von Rech-berg vnd Rothen löwen;Wolf Konrad von Rechberg
Maximilian;Maximilian I., Herzog/Kurfürst (Bayern)
Ferdinand;Ferdinand, Kurfürst (Köln)
Albrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Herr Pfaltzgraf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Phi-lipps Ludwig;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
frawPfaltzgräfin;Anna von Pfalz-Neuburg
alteherr Pfaltzgraf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
HertzogMaximilianum in Baÿrn;Maximilian I., Herzog/Kurfürst (Bayern)
Herrn Chur-fürsten;Ferdinand, Kurfürst (Köln)
von Cöllen;Ferdinand, Kurfürst (Köln)
HertzogWilhalm;Wilhelm V., Herzog (Bayern)
Hertzogin Magda-lena;Magdalena von Bayern
HertzogenAlbrechts gemahlin;Mathilde von Bayern
der regirende herr;Maximilian I., Herzog/Kurfürst (Bayern)
herr Churfürst;Ferdinand, Kurfürst (Köln)
Bischoff von Eÿstett;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Pfaltzgrafen Wolff Wilhelms;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Pfaltzgraf Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
PfaltzgrafJohann Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Hertzog Albrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Christian I. von Zweibrücken-Birkenfeld-Bischweiler;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
alte fraw Pfaltz-gräfin;Anna von Pfalz-Neuburg
regirenden Fürstin;Elisabeth Renata von Lothringen
die;Magdalena von Bayern
Fürstliche;Magdalena von Bayern
brautt;Magdalena von Bayern
Hertzogs Albrechts gemahlin;Mathilde von Bayern
herr breutigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
gräfin von Solms;Anna-Maria von Solms
regirende fürstin;Elisabeth Renata von Lothringen
Herrn breütigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
die braut;Magdalena von Bayern
alte Herr Pfaltzgraf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
fraw Pfaltzgräfin;Anna von Pfalz-Neuburg
der breutigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
gemahlin;Magdalena von Bayern
Hertzog;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Wilhalms Durchleucht;Wilhelm V., Herzog (Bayern)
Herrn;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
breutigams;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
braut;Magdalena von Bayern
Herr breütigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
frew-lin braut;Magdalena von Bayern
Hertzogen Wilhalms;Wilhelm V., Herzog (Bayern)
Hertzogen Augustj von Lüne-burg;August II., Herzog (Braunschweig-Wolfenbüttel)
Herr Churfürst;Ferdinand, Kurfürst (Köln)
Für-stin;Magdalena von Bayern
Kaÿser;Matthias, Kaiser (HRR)
Pfaltzgrafen;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Herr PfaltzgrafPhilipps Ludwig;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Johann;Johann, Herzog (Schleswig-Holstein-Sonderburg)
Hertzogen von Münsterberg;Karl II., Herzog (Münsterberg-Oels)
tochter braut;Magdalena von Bayern
Hertzog Friderich;Friedrich, Pfalzgraf (Zweibrücken-Birkenfeld)
Hertzog Christian;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
Georg Wilhelm;Georg Wilhelm, Pfalzgraf (Pfalz-Birkenfeld)
Hertzog Maximilian;Maximilian I., Herzog/Kurfürst (Bayern)
Churfürst Ferdinand;Ferdinand, Kurfürst (Köln)
