Erwähnung;Personenname
haußfrawen;Regina Barbara Waiblinger
Christoph von Laÿmingen;Christoph von Laimingen
Doctor Gnan;Johann Gnan
Laÿminger;Christoph von Laimingen
Gnan;Johann Gnan
Er;Johann Gnan
Michael Hettich;Michael Hettich
haußfrau;Regina Barbara Waiblinger
Sattlerin;Susanne Adelgais
Ketterlin;Andreas Ketterlin
Christof von Laÿmingen;Christoph von Laimingen
Speiser;Michael Hettich
Doctor Lotter;Tobias Lotter
Satlerin;Susanne Adelgais
Melchior Voltius;Melchior Volz
Magister Voltius;Melchior Volz
Johannes Plachetius;Johannes Plachetius
von Grüenthaal;Johann Joachim von Grüenthall
Johann Conrad Hochstetter;Johann Konrad Hochstetter
Lotter;Tobias Lotter
Grabe;Jakob Grab
Capitain Men-zinger;Johann Bernhard von Menzingen
vonGrüenthaal;Johann Joachim von Grüenthall
Marggraf von Durlach;Georg Friedrich, Markgraf (Baden-Durlach)
Älteren Herren sohn;Friedrich V., Markgraf (Baden-Durlach)
Grüenthaler;Johann Joachim von Grüenthall
Herren Marggrafen;Georg Friedrich, Markgraf (Baden-Durlach)
Doctor Braitschwerdt;Veit Breitschwert
DoctorPlachetius;Johannes Plachetius
Büwighauser;Benjamin Bouwinghausen von Wallmerode
MichaelHettich;Michael Hettich
mein haußfraw;Regina Barbara Waiblinger
Laÿ-minger;Christoph von Laimingen
Doctor Plachetius;Johannes Plachetius
Büwigkhausen;Benjamin Bouwinghausen von Wallmerode
Hannß Leo Roth;Johann Leo Roth
