Erwähnung;Personenname
August von Pfalz-Sulzbach;August, Pfalzgraf (Pfalz-Sulzbach)
Johann Friedrich von Pfalz-Hilpoltstein;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Liebden;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Sitzinger;Eleazar Sitzinger
Jenisch;Paul Jenisch
Hertzo-gen Augustj;August, Pfalzgraf (Pfalz-Sulzbach)
pfaltz-graf Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
pfaltzgraf Johann Fri-derich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Heüche-lin;Caspar Heuchelin
Vice Cantzler;Caspar Heuchelin
er;Caspar Heuchelin
Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
Johann Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
vonAnweil;Christoph Daniel von Anweil
Doctor Düschelin;Friedrich Konrad Tuschelin
ViceCantzler;Caspar Heuchelin
Herr von Stainach;Johann Jakob von Stainach
wittwe auß Saxen Altenburg;Anna Maria von Sachsen-Weimar-Altenburg
Anna Sophia von Sachsen-Weimar-Altenburg;Anna Sophia von Sachsen-Weimar-Altenburg
Dorothea von Sachsen-Weimar-Altenburg;Dorothea von Sachsen-Weimar-Altenburg
Christian von Pürckenfeld;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
Pfaltzgraf Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
Pfaltzgraf JohannFriderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Pfaltzgraf Christianus;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
Pfaltzgrafen Johann Friderichs;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Pfaltzgraf Augustj;August, Pfalzgraf (Pfalz-Sulzbach)
Pfaltzgraf Christianj;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
von Stainach;Johann Jakob von Stainach
Christoph Griebel zu Stockau;Christoph Griebel zu Stockau
Hertzog Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
Herr bruder;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Hertzog Johann Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
vonStainach;Johann Jakob von Stainach
